iter	RMSE
0	2229269.055
1	2170562.446
2	2136213.507
3	2085874.329
4	2041142.453
5	2001684.177
6	1965722.525
7	1919959.666
8	1888366.694
9	1862526.906
10	1831603.522
11	1816751.869
12	1783272.995
13	1754122.863
14	1727030.121
15	1700241.859
16	1675977.723
17	1658908.802
18	1647621.496
19	1629512.584
20	1606348.405
21	1589546.79
22	1572366.483
23	1552368.952
24	1535650.93
25	1513976.986
26	1496153.697
27	1486214.758
28	1467093.608
29	1455418.648
30	1434781.414
31	1425790.891
32	1410467.947
33	1407536.517
34	1402906.773
35	1390889.671
36	1375282.303
37	1358343.074
38	1343382.439
39	1330039.974
40	1320636.409
41	1308675.435
42	1300550.417
43	1287887.101
44	1277170.893
45	1266794.397
46	1254582.596
47	1244836.77
48	1234436.646
49	1224142.194
50	1217100.313
51	1207169.212
52	1199247.79
53	1192845.012
54	1192487.094
55	1183511.264
56	1173021.349
57	1163532.64
58	1157924.499
59	1152027.988
60	1147676.547
61	1141009.453
62	1134000.825
63	1125071.556
64	1121529.521
65	1117977.567
66	1111576.839
67	1109006.484
68	1104273.084
69	1096916.732
70	1091522.066
71	1084293.624
72	1081161.048
73	1076149.208
74	1075611.534
75	1069411.58
76	1061642.632
77	1054437.369
78	1050728.412
79	1045599.853
80	1042522.316
81	1042093.849
82	1039015.249
83	1035656.966
84	1033665.681
85	1025772.261
86	1021082.136
87	1017477.917
88	1011582.046
89	1010258.931
90	1005053.082
91	1003051.879
92	997440.6583
93	993429.5154
94	990173.322
95	986748.5466
96	982950.6433
97	979858.1242
98	976122.4875
99	972955.9822
100	968205.2967
101	967370.3802
102	965510.2063
103	962585.1316
104	958917.2656
105	956564.0245
106	952426.8646
107	949086.1838
108	947605.1037
109	945443.7307
110	940797.1421
111	939056.4206
112	936751.6425
113	932858.3142
114	930705.1523
115	928776.1252
116	924704.5767
117	923264.8939
118	921120.8076
119	920031.7571
120	916277.1013
121	914430.2017
122	913435.6195
123	910413.0941
124	907589.6179
125	904172.705
126	900929.4944
127	899635.9921
128	894426.1251
129	887010.2101
130	886538.8195
131	884580.2023
132	883490.99
133	881640.7568
134	877488.348
135	874889.1991
136	868598.0584
137	864497.0757
138	862954.9831
139	859796.6345
140	858060.0874
141	853951.2369
142	851100.6234
143	849754.8646
144	846162.2822
145	845263.8587
146	840761.5644
147	839961.3763
148	839348.5026
149	835046.7966
150	834652.2394
151	833030.5354
152	832242.6703
153	827483.2676
154	826411.7579
155	825645.1126
156	821699.4113
157	821038.2945
158	820743.3111
159	820235.6105
160	816044.5403
161	813396.2564
162	811973.1112
163	811414.6216
164	810886.1122
165	810044.7114
166	808352.4365
167	805090.4794
168	803516.9861
169	801493.2555
170	800842.9425
171	797902.6748
172	794662.6046
173	793616.6792
174	792147.1184
175	791306.3532
176	790418.2281
177	786617.1372
178	784768.0332
179	781514.2699
180	777108.9598
181	773521.1031
182	772707.6509
183	771306.8031
184	767387.9249
185	766796.9829
186	766233.6013
187	763727.0583
188	762611.7377
189	759480.6771
190	758656.6873
191	756917.5048
192	756017.4533
193	753191.3309
194	750568.6275
195	750051.0016
196	746657.2815
197	745735.2842
