iter	Passed	Remaining
0	264	396846
1	355	265949
2	443	221097
3	558	208919
4	633	189429
5	689	171801
6	748	159724
7	807	150633
8	879	145761
9	961	143248
10	1043	141228
11	1129	140014
12	1273	145648
13	1329	141117
14	1384	137094
15	1456	135134
16	1567	136708
17	1677	138083
18	1787	139357
19	1899	140530
20	2024	142548
21	2144	144063
22	2219	142507
23	2309	142034
24	2382	140546
25	2453	139096
26	2526	137818
27	2577	135477
28	2645	134183
29	2718	133219
30	2799	132680
31	2872	131791
32	2944	130905
33	3008	129705
34	3068	128432
35	3136	127557
36	3210	126927
37	3282	126275
38	3353	125636
39	3439	125559
40	3518	125218
41	3588	124564
42	3662	124111
43	3744	123895
44	3816	123413
45	3889	122956
46	3965	122589
47	4007	121219
48	4076	120709
49	4148	120306
50	4217	119822
51	4305	119887
52	4376	119491
53	4449	119158
54	4474	117568
55	4548	117278
56	4634	117326
57	4745	117974
58	4860	118700
59	4961	119069
60	5025	118552
61	5115	118640
62	5228	119263
63	5325	119480
64	5395	119122
65	5465	118747
66	5535	118404
67	5603	117998
68	5670	117599
69	5753	117541
70	5821	117172
71	5900	117030
72	5974	116782
73	6011	115838
74	6069	115324
75	6142	115097
76	6214	114851
77	6285	114588
78	6380	114760
79	6453	114544
80	6515	114144
81	6531	112944
82	6596	112612
83	6668	112418
84	6742	112249
85	6823	112189
86	6912	112273
87	6991	112178
88	7069	112074
89	7142	111906
90	7212	111676
91	7290	111573
92	7371	111521
93	7453	111492
94	7540	111516
95	7631	111614
96	7723	111719
97	7810	111735
98	7891	111673
99	7975	111658
100	8060	111648
101	8110	111157
102	8203	111268
103	8285	111210
104	8353	110977
105	8419	110730
106	8494	110580
107	8555	110270
108	8627	110099
109	8696	109889
110	8772	109772
111	8855	109739
112	8922	109516
113	8981	109197
114	9038	108852
115	9104	108630
116	9165	108337
117	9223	108028
118	9285	107758
119	9346	107484
120	9407	107212
121	9467	106931
122	9546	106873
123	9628	106841
124	9700	106705
125	9776	106608
126	9848	106475
127	9922	106356
128	9994	106217
129	10068	106111
130	10149	106069
131	10220	105921
132	10291	105781
133	10362	105637
134	10433	105498
135	10509	105402
136	10582	105283
137	10649	105109
138	10706	104830
139	10768	104603
140	10828	104370
141	10886	104115
142	10944	103860
143	11005	103638
144	11065	103408
145	11125	103181
146	11193	103025
147	11266	102921
148	11344	102863
149	11416	102751
150	11490	102651
151	11560	102527
152	11630	102391
153	11703	102288
154	11790	102310
155	11907	102591
156	12014	102773
157	12138	103100
158	12281	103581
159	12364	103550
160	12432	103396
161	12508	103312
162	12600	103355
163	12685	103342
164	12748	103147
165	12821	103036
166	12888	102873
167	12952	102690
168	13018	102531
