,Price (NPR),Year,Fuel,Kilometer Run,Color,Mileage (Km/L),Engine (CC),Transmission,Brand,Age
0,2487500,2015,Petrol,42000,brown,14,1400,Manual 2WD,Hyundai,10
1,750000,2005,Petrol,87412,blue,11,1399,Auto 2WD,Hyundai,20
2,700000,2013,Diesel,60000,white,14,2956,Manual 2WD,Tata,12
3,600000,2017,Diesel,49000,others,14,1200,Manual 4WD,Mahindra,8
4,3750000,2019,Petrol,2400,white,17,1200,Auto 2WD,Hyundai,6
5,1400000,2014,Diesel,49000,silver,12,2956,Manual 2WD,Tata,11
6,700000,2019,Petrol,80000,brown,15,889,Auto 2WD,Tata,6
7,580000,2004,Petrol,75000,black,14,800,Manual 2WD,Maruti Suzuki,21
8,1845000,2014,Petrol,31000,silver,14,1200,Manual 2WD,Hyundai,11
9,2050000,2016,Petrol,41000,blue,17,1200,Auto 4WD,Maruti Suzuki,9
10,1025000,2008,Petrol,43000,others,20,1200,Manual 2WD,Maruti Suzuki,17
11,1350000,2010,Petrol,4200,red,14,1100,Manual 4WD,Hyundai,15
12,1250000,2018,Diesel,49000,others,14,1200,Manual 2WD,Mahindra,7
13,3250000,2011,Diesel,49000,others,14,1200,Manual 4WD,Kia,14
14,1950000,2015,Diesel,65000,silver,14,2500,Manual 4WD,Mahindra,10
15,3200000,2019,Electric,61000,silver,15,2100,Manual 2WD,Mahindra,6
16,2500000,2015,Diesel,42000,brown,14,1400,Manual 2WD,Hyundai,10
17,5100000,2019,Diesel,51000,white,14,2499,Manual 4WD,Other Brands,6
18,5300000,2021,Electric,12200,red,300,105,Auto 2WD,Other Brands,4
19,5800000,2019,Electric,9000,white,14,1200,Auto 2WD,Kia,6
20,1350000,2010,Petrol,49000,gold,14,1200,Manual 2WD,Hyundai,15
21,2350000,2017,Petrol,7000,red,14,1197,Manual 2WD,Hyundai,8
22,1850000,2014,Petrol,45000,silver,14,1200,Manual 2WD,Hyundai,11
23,1430000,2011,Petrol,59000,white,18,1399,Manual 2WD,Kia,14
24,2600000,2019,Petrol,18300,grey,13,1200,Manual 2WD,Hyundai,6
