,Price,Transmission,Types,Fuel,Make Year,Lot No,Kilometer Run,Mileage (Km/L),Engine (CC),Color,Brand
0,50000,Manual,Scooty,Petrol,2012,86,23000,40,150,Other,Other
1,158000,Automatic,Standard,Petrol,2020,118,19000,40,125,Black,Honda
2,380000,Automatic,Sport,Petrol,2025,86,5000,40,220,Red,Other
3,375000,Automatic,Standard,Petrol,2025,86,23000,40,150,Other,Other
4,275000,Manual,Scooty,Petrol,2024,151,7000,55,125,Red,TVS
5,310000,Automatic,Standard,Petrol,2021,86,23000,40,400,Other,Dominar
6,135000,Manual,Scooty,Petrol,2020,125,45000,35,125,Red,Other
7,88000,Manual,Others,Petrol,2014,86,23000,40,150,Other,Other
8,410000,Manual,Sport,Petrol,2023,45,16000,35,350,Other,Royal Enfield
9,104000,Automatic,Scooty,Petrol,2015,72,23000,40,110,Other,Honda
10,190000,Manual,Standard,Petrol,2022,86,23000,40,150,Other,Other
11,195000,Automatic,Standard,Petrol,2021,123,22000,38,200,Grey,Other
12,126000,Manual,Sport,Petrol,2019,90,60000,40,200,Red,Other
13,135000,Manual,Sport,Petrol,2018,86,23000,40,150,Other,Honda
14,157000,Manual,Sport,Petrol,2022,86,15000,40,150,Other,Other
15,90000,Manual,Others,Petrol,2016,86,23000,40,150,Other,Other
16,220000,Manual,Standard,Petrol,2018,98,32000,40,250,Green,Italjet
17,75000,Manual,Standard,Petrol,2017,86,23000,40,150,Other,Hero
18,199000,Manual,Standard,Petrol,2020,19,19000,40,150,Blue,FZ
19,410000,Automatic,Dirt,Petrol,2024,52,8500,36,200,Blue,Hero
20,180000,Manual,Dirt,Petrol,2019,106,19000,35,200,Other,Other
21,190000,Manual,Scooty,Petrol,2022,135,16000,37,150,Other,Other
22,190000,Automatic,Scooty,Petrol,2022,39,12300,40,150,Other,Honda
23,75000,Automatic,Standard,Petrol,2018,86,23000,40,150,Other,Hero
24,10000,Automatic,Others,Petrol,2019,86,1212,40,350,Black,Other
25,180000,Manual,Standard,Petrol,2019,111,23000,40,220,Other,Other
26,128000,Manual,Scooty,Petrol,2019,10,23000,35,125,Yellow,Other
27,185,Manual,Scooty,Petrol,2021,86,23000,40,150,Other,Other
28,120000,Automatic,Standard,Petrol,2019,86,23000,40,150,Other,Other
29,189000,Manual,Scooty,Petrol,2021,86,23000,40,150,Other,Other
30,220000,Manual,Standard,Petrol,2021,128,25000,40,200,Other,Other
31,155000,Manual,Standard,Petrol,2022,135,23000,55,125,Other,Other
32,42000,Automatic,Standard,Petrol,2015,86,23000,50,150,Other,Suzuki
33,230000,Automatic,Standard,Petrol,2021,86,23000,40,150,Other,Xpulse
34,199999,Manual,Standard,Petrol,2020,86,44000,40,220,Other,Other
35,110000,Manual,Sport,Petrol,2016,86,27000,40,200,Other,Other
36,146999,Manual,Sport,Petrol,2020,86,23000,40,150,Other,Other
37,58000,Manual,Standard,Petrol,2015,86,23000,40,150,Other,Other
38,220000,Manual,Standard,Petrol,2021,86,23000,40,150,Other,Other
39,194999,Automatic,Scooty,Petrol,2021,86,22000,50,125,Green,Yamaha
40,225000,Manual,Standard,Petrol,2021,86,23000,40,150,Other,FZ
41,50000,Automatic,Standard,Petrol,2011,86,23000,40,150,Other,Other
42,115000,Automatic,Standard,Petrol,2018,99,37000,40,150,Black,Other
43,67000,Manual,Others,Petrol,2012,86,23000,40,150,Other,Honda
44,167000,Manual,Scooty,Petrol,2022,86,23000,40,150,Other,Other
45,230000,Manual,Standard,Petrol,2024,146,13000,55,125,Blue,Other
46,85000,Automatic,Standard,Petrol,2015,86,23000,40,150,Other,Other
47,229000,Manual,Standard,Petrol,2022,146,16000,45,160,Blue,TVS
48,128000,Manual,Sport,Petrol,2016,86,27000,40,200,Other,Other
49,290000,Automatic,Scooty,Petrol,2025,58,2400,55,125,Blue,Other
50,139000,Manual,Scooty,Petrol,2020,119,22000,30,125,Red,Other
51,177000,Manual,Cruiser,Petrol,2019,111,23000,40,220,Other,Other
52,80000,Manual,Standard,Petrol,2015,71,23000,45,110,Silver,Hero
53,608000,Manual,Standard,Petrol,2022,39,23000,35,190,Other,Other
54,90000,Automatic,Scooty,Petrol,2015,86,23000,40,150,Other,Honda
55,110000,Manual,Sport,Petrol,2017,86,27000,40,200,Other,Other
56,165000,Automatic,Sport,Petrol,2018,86,32000,45,150,Other,FZ
57,100000,Manual,Sport,Petrol,2016,86,27000,40,150,Other,Other
58,210000,Manual,Scooty,Petrol,2021,38,19200,50,125,Blue,Yamaha
59,565000,Manual,Sport,Petrol,2019,121,33000,22,302,Other,Benelli
60,151000,Automatic,Standard,Petrol,2019,86,23000,40,125,Other,Honda
61,465000,Manual,Dirt,Petrol,2019,6,31000,40,190,Other,Honda
62,99999,Automatic,Scooty,Petrol,2016,74,36000,35,109,Grey,Honda
63,210000,Manual,Scooty,Petrol,2021,135,16000,50,125,Red,TVS
64,127000,Automatic,Standard,Petrol,2017,80,37635,45,220,Blue,Other
65,158000,Manual,Scooty,Petrol,2020,86,23000,40,150,Other,Other
66,33000,Automatic,Scooty,Petrol,2008,22,72000,35,110,Blue,Hero
67,400000,Automatic,Standard,Petrol,2025,86,23000,40,150,Other,Other
68,85000,Automatic,Standard,Petrol,2017,86,23000,40,150,Other,Other
69,180000,Manual,Standard,Petrol,2022,86,23000,40,150,Other,TVS
70,66000,Automatic,Standard,Petrol,2012,42,23000,45,150,Blue,Other
71,67000,Manual,Sport,Petrol,2014,86,23000,40,150,Other,TVS
72,160000,Automatic,Standard,Petrol,2021,86,23000,40,150,Other,Other
73,130000,Automatic,Standard,Petrol,2019,86,23000,40,150,Other,Other
74,135000,Manual,Scooty,Petrol,2019,86,23000,40,150,Other,Other
75,60000,Automatic,Sport,Petrol,2015,86,23000,40,150,Other,Other
76,145000,Manual,Scooty,Petrol,2019,17,23000,35,150,Other,Other
77,245000,Manual,Scooty,Petrol,2024,146,9000,55,125,Red,TVS
78,110000,Automatic,Scooty,Petrol,2019,106,23000,35,125,Grey,Suzuki
79,190000,Manual,Others,Petrol,2015,86,23000,40,200,Other,Other
80,100000,Automatic,Cruiser,Petrol,2012,52,50,40,220,Blue,Bajaj
81,84999,Manual,Standard,Petrol,2016,80,30976,50,100,Black,Hero
82,85000,Automatic,Standard,Petrol,2019,86,23000,40,150,Other,Hero
83,230000,Automatic,Standard,Petrol,2021,27,22000,35,250,Blue,Yamaha
84,210000,Automatic,Standard,Diesel,2012,86,40000,20,200,Orange,Duke
85,180000,Manual,Scooty,Petrol,2022,86,23000,40,150,Other,Other
86,250000,Automatic,Standard,Petrol,2019,111,21000,25,250,Other,Other
87,195000,Manual,Standard,Petrol,2019,109,52000,45,150,Blue,Yamaha
88,82000,Automatic,Standard,Petrol,2013,61,22000,55,125,Black,Honda
89,99000,Manual,Scooty,Petrol,2017,101,22000,45,110,Blue,Other
90,110000,Automatic,Standard,Petrol,2016,86,23000,40,150,Other,Other
91,127000,Automatic,Scooty,Petrol,2019,107,25000,30,125,Yellow,TVS
92,110000,Automatic,Sport,Petrol,2017,86,23000,45,160,Other,Bajaj
93,110000,Manual,Scooty,Petrol,2017,92,23000,40,110,Other,Honda
94,157000,Manual,Scooty,Petrol,2021,86,23000,40,150,Other,Other
95,230000,Automatic,Dirt,Petrol,2021,86,23000,40,150,Other,Other
96,130000,Automatic,Standard,Petrol,2019,86,23000,40,150,Other,Suzuki
97,210,Manual,Sport,Petrol,2018,103,12000,50,155,Blue,Other
98,135000,Manual,Scooty,Petrol,2019,86,23000,40,150,Other,Honda
99,165000,Manual,Scooty,Petrol,2021,123,23000,32,125,Grey,Other
100,75000,Automatic,Standard,Petrol,2018,86,23000,40,150,Other,Other
101,720000,Automatic,Standard,Petrol,2021,26,10400,30,350,Black,Honda
102,200000,Automatic,Scooty,Petrol,2021,128,23000,50,125,Red,Honda
103,75000,Manual,Standard,Petrol,2020,86,23000,40,150,Other,Other
104,105000,Manual,Scooty,Petrol,2017,86,23000,40,150,Other,Other
