Name,Price,Transmission,Types,Fuel,Make Year,Mileage,Lot No,Colour,Kilometer Run,Engine (CC)
Royal Enfield On Urgent Sale,"रू. 5,00,000",Manual,Cruiser,Petrol,2018,,106,Ash white,18000,350
Discover bike for sale,"रू. 33,000",Automatic,Standard,Petrol,2006,,22,,,125
150 pulsar fresh condition,"रू. 45,000",Manual,Standard,Petrol,2008,35,,Red and Black,,
discovery 68lot,"रू. 65,000",Automatic,Standard,Petrol,2015,,,,,
ns 200,"रू. 4,00,000",Automatic,Standard,Petrol,2025,,,,,
ns 125 045lot,"रू. 1,70,000",Automatic,Standard,Petrol,2024,,,,,
bullet on sale or exchange,रू. 100,Manual,Standard,Petrol,2016,,74,black,48000,350
Nk 250 single hand,"रू. 2,49,000",Manual,Sport,Petrol,2019,30+,013,Full black,30k,250
pulsar 150 035lot,"रू. 1,95,000",Automatic,Standard,Petrol,2021,,,,,
r15m,"रू. 3,78,000",Manual,Sport,Petrol,2022,50,042,,,155
ns 125 045lot,"रू. 1,70,000",Automatic,Standard,Petrol,2024,,,,,
78 lot apache 200,"रू. 1,10,000",Automatic,Standard,Petrol,2016,35,78,black,0,200
hero maestro 98lot,"रू. 75,000",Automatic,Standard,Petrol,2018,,,,,
Honda Shine 57 Lot Super Fresh Condition Onsell,"रू. 88,000",Manual,Sport,Petrol,2013,,,,,
Fz 250 Fi Abs,"रू. 2,14,000",Manual,Sport,Petrol,2019,40,013,Black,24000,250
N250 (BAJAJ PULSAR) BRAND NEW ON SALE,"रू. 4,00,000",Manual,Sport,Petrol,2025,35-40 (depend on rider),Bagmati Pradesh-02-051-Pa-3458,Black and red,4455,250
Honda,"रू. 55,000",Manual,Standard,Petrol,2010,40,35,kalo rato,,125
NS 200,"रू. 1,40,00,000",Automatic,Sport,Petrol,2016,35,75,Red and black,54000,200
114 lot 220 pulsar,"रू. 1,85,000",Automatic,Standard,Petrol,2019,35,114,black/red,57000,220
145 Lot Yamaha Z.R Hybrid Scooter Sell Ma Xa,"रू. 2,30,000",Automatic,Standard,Petrol,2023,55,145,Orange,11300,125
honda Dio Fi system 046lot,"रू. 2,50,000",Manual,Scooty,Petrol,2023,,,,,
pulsar 220 055lot,"रू. 3,60,000",Manual,Standard,Petrol,2025,,,,,
Honda shine 162 lot (2018) on sale,"रू. 1,28,000",Automatic,Standard,Petrol,2018,40,162,Black and red,30000,125
TVS Raider 046 Lot 2023 Last Model for sale ‼️‼️,"रू. 1,85,000",Manual,Standard,Petrol,2023 Last,50-55,046,Red,18000,125
Honda nx 200 153 lot sale,"रू. 3,98,000",Automatic,Standard,Petrol,2024,45,153,Black,5000,200
"Crossfire GR7 300cc • Fully Loaded • Only 8,000 KM","रू. 2,90,000",Manual,Dirt,Petrol,2019,28,110,Blue,8000,300
ntorq 041lot,"रू. 1,85,000",Automatic,Standard,Petrol,2023,,,,,
Apache Rtr160cc 132 Lot Super Fresh Condition Onse,"रू. 1,75,000",Manual,Sport,Petrol,2021,,,,,
Tvs Ntorq race Edition (117 lot),"रू. 1,54,000",Automatic,Scooty,Petrol,2020,,117,,24000,125
Honda Shine,"रू. 1,20,000",Manual,Sport,Petrol,2017,45,85,Black,31000,125
Aviator Fully Fresh Lot-94 Super Fresh,"रू. 1,28,000",Manual,Scooty,Petrol,2018,,,,25000,
