Name,Price,Transmission,Types,Fuel,Make Year,Mileage,Lot No,Colour,Kilometer Run,Engine (CC)
pleasure 44lot,"रू. 50,000",Manual,Scooty,Petrol,2012,,,,,
Honda shine 118 sale,"रू. 1,58,000",Automatic,Standard,Petrol,2020,40,118,Black,19000,125
220 pulser,"रू. 3,80,000",Automatic,Sport,Petrol,2025,,,Red and black,5000,220
pulsar 220 055lot,"रू. 3,75,000",Automatic,Standard,Petrol,2025,,,,,
Tvs Ntorque Racexp 151 Lot Sale Or Exchange,"रू. 2,75,000",Manual,Scooty,Petrol,2024,55,151,Red,7000,125
dominar 023lot,"रू. 3,10,000",Automatic,Standard,Petrol,2021,,,,,400
Scooter for sale,"रू. 1,35,000",Manual,Scooty,Petrol,2020,35+,125,Red,45k,125
super splinter 56 lot super fresh condition on,"रू. 88,000",Manual,Others,Petrol,2014,,,,,
Royal Enfield Bullet Hunter 350 (045)lot,"रू. 4,10,000",Manual,Sport,Petrol,2023,35,045,Blue and white,16000,350
Honda Aviator (72 lot),"रू. 1,04,000",Automatic,Scooty,Petrol,2015,,72,,,110
pulser150 035 lot,"रू. 1,90,000",Manual,Standard,Petrol,2022,,,,,
ns 200 123 lot on sale,"रू. 1,95,000",Automatic,Standard,Petrol,2021,38,123,Grey,22000,200
Apache 200 Lot 90,"रू. 1,26,000",Manual,Sport,Petrol,2019,,90,Red,60000,200
Honda Hornet 101 Lot Super Fresh Condition Onsell,"रू. 1,35,000",Manual,Sport,Petrol,2018,,,,,
Glamour Fi System Fully Brand New Lot-036,"रू. 1,57,000",Manual,Sport,Petrol,2022,,,,15000,
pulsar150 - 010 lot 2016 model ‼️,"रू. 90,000",Manual,Others,Petrol,2016,,,,,150
Italjet Buccaneer 250,"रू. 2,20,000",Manual,Standard,Petrol,2018,,98,Green,32000,250
Hero Duet scooter fresh on sale,"रू. 75,000",Manual,Standard,Petrol,2017,,,,,
0019 Lot ko Fzs V3 On sale n Exchange service,"रू. 1,99,000",Manual,Standard,Petrol,2020,40,0019,Navy,19000,150
Hero Xpulse 200 4v,"रू. 4,10,000",Automatic,Dirt,Petrol,2024,36,52,Blue,8500,200
Dirt Bike on sale (Runner Hawk 200cc),"रू. 1,80,000",Manual,Dirt,Petrol,2019,35+,106,Red and white,19000,200
aprilla 150 great condition genuine 16k running,"रू. 1,90,000",Manual,Scooty,Petrol,2022,37,135,white -red,16000,150
Honda Dio,"रू. 1,90,000",Automatic,Scooty,Petrol,2022,,039,,12300,
hero maestro 98lot,"रू. 75,000",Automatic,Standard,Petrol,2018,,,,,
bullet parts for sale,"रू. 10,000",Automatic,Others,Petrol,000,,,blacko,1212,350
Pulsar220 Like New 111 Lot,"रू. 1,80,000",Manual,Standard,Petrol,2019,40,111,,,220
Storm aprilla 010 lot on sale,"रू. 1,28,000",Manual,Scooty,Petrol,2019,35,010,yellow,,125
ntorq 125cc Fi 133 lot super fresh condition onsel,रू. 185,Manual,Scooty,Petrol,2021,,,,,
vespa 003lot,"रू. 1,20,000",Automatic,Standard,Petrol,2019,,,,,
"Ntorq 125 fi  
133 lot super fresh conditi
 om sel","रू. 1,89,000",Manual,Scooty,Petrol,2021,,,,,
128 lot Ns 200 urgent sell,"रू. 2,20,000",Manual,Standard,Petrol,2021,40,128,,25000,200
Super Splender Like Bew 135 Lot,"रू. 1,55,000",Manual,Standard,Petrol,2022,55,135,,,125
Suzuki slingg Shot 57-lot 9803656430,"रू. 42,000",Automatic,Standard,Petrol,2015,50+,,,,
