Name,Price,Transmission,Types,Fuel,Make Year,Mileage,URL
Bajaj Avenger 220 Cruise,"रू. 1,30,000",Manual,Cruiser,Petrol,2017,30,https://hamrobazaar.com/product/bajaj-avenger-220-cruise-in-nepal/2ca7b3662025b8744898bd6564c995e1
ns 125cc 045lot,"रू. 1,70,000",Automatic,Standard,Petrol,2024,,https://hamrobazaar.com/product/ns-125cc-045lot-in-bhaktapur/cbde41221f310ab1846740682bc7eafa
Classic Bullet 52 Lot On Sale,"रू. 3,20,000",Manual,Standard,Petrol,2012,30,https://hamrobazaar.com/product/classic-bullet-52-lot-on-sale-in-kathmandu/96d1f1b4816464d824462e1657dac91c
"Ns 200 On Sale 
Cn 9808069712","रू. 1,60,000",Manual,Standard,Petrol,2018,30,https://hamrobazaar.com/product/ns-200-on-sale-cn-9808069712-in-lalitpur/30a82a6e49cd3e63d746290186865395
ns 125 045lot,"रू. 1,70,000",Automatic,Standard,Petrol,2024,,https://hamrobazaar.com/product/ns-125-045lot-in-bhaktapur/100e64aff4cc60b68083af75d6a0594a
Pleasure Scooter | Black and Red - Good Condition,"रू. 40,000",Automatic,Scooty,Petrol,2010,35,https://hamrobazaar.com/product/pleasure-scooter-black-and-red-good-condition-in-nepal/3856e96de2501d55a2741d798381ea02
Ntroq 120 Lot(Single Hand),"रू. 1,68,000",Automatic,Scooty,Petrol,2020,,https://hamrobazaar.com/product/ntroq-120-lotsingle-hand-in-bhaktapur/0d250096df3441c95d11eb0ca6a85694
Yamaha RX 100 for restore - 5 lot,"रू. 25,000",Manual,Standard,Petrol,1994,,https://hamrobazaar.com/product/yamaha-rx-100-for-restore-5-lot-in-nepal/c3c2568611e2b09ed109f6777d48f253
Dio on sale,"रू. 1,28,000",Manual,Scooty,Petrol,2016,,https://hamrobazaar.com/product/dio-on-sale-in-bhaktapur/12d119affd11991411b72d3afadfa647
Dio fi 046 lot,रू. 12,Manual,Scooty,Petrol,2023,,https://hamrobazaar.com/product/dio-fi-046-lot-in-nepal/7a043221fb863f47b3082cd6fc6c001b
045 lot tvs ntorq race XP Fi sale and EX dio,"रू. 2,39,000",Automatic,Scooty,Petrol,2023,,https://hamrobazaar.com/product/045-lot-tvs-ntorq-race-xp-fi-sale-and-ex-dio-in-kathmandu/1044c0731734b77f0c82bf1e618c6ca0
ntorq race 041 lot,"रू. 1,80,000",Manual,Scooty,Petrol,2022,,https://hamrobazaar.com/product/ntorq-race-041-lot-in-bhaktapur/33f4772d5deec1cabaa8ef5d24e61225
"Honda Shine 
86 Lot  9843645282","रू. 1,25,000",Manual,Standard,Petrol,2017,,https://hamrobazaar.com/product/honda-shine-86-lot-9843645282-in-bhaktapur/ca17a575fd70bcdee40985da43f89165
Bajaj Pulsar 150cc 115 Lot 2020 Model Sale Or Ex,"रू. 1,89,000",Manual,Standard,Petrol,2020,45,https://hamrobazaar.com/product/bajaj-pulsar-150cc-115-lot-2020-model-sale-or-ex-in-kathmandu/1010ba9245acb35643af8caa4c871c11
scooty on rent,रू. 450,Manual,Standard,Petrol,2015,,https://hamrobazaar.com/product/scooty-on-rent-in-lalitpur/2a8e7e1f75e4953e958215e965e91465
BENELLI PANAREA 125 EFI SCOOTER SELL IN BHAKTAPUR,"रू. 2,50,000",Automatic,Standard,Petrol,2021,50,https://hamrobazaar.com/product/benelli-panarea-125-efi-scooter-sell-in-bhaktapur-in-bhaktapur/6afc50453ff87b619491d358c239c688
Bajaj Domaninar D400 98 Lots Sale/Xchange,"रू. 2,21,900",Automatic,Sport,Petrol,2018,30,https://hamrobazaar.com/product/bajaj-domaninar-d400-98-lots-salexchange-in-kathmandu/9a23d91ffef931dc673012b45f432ffb
Avaitor 2019 model,"रू. 1,40,000",Automatic,Scooty,Petrol,2019,35,https://hamrobazaar.com/product/avaitor-2019-model-in-kathmandu/bd07a355554507b5d8b40f495ada2036
Single Hand Bajaj Avenger 220 On Urgent Sale,"रू. 1,12,000",Automatic,Cruiser,Petrol,2016,40,https://hamrobazaar.com/product/single-hand-bajaj-avenger-220-on-urgent-sale-in-kathmandu/272cdc9e9bee78b8c8c5fea3e2f0d4c8
ns 200 abs on sell,"रू. 2,15,000",Manual,Standard,Petrol,2021,30,https://hamrobazaar.com/product/ns-200-abs-on-sell-in-kathmandu/1554eb33d4cce16356bce0b4a5fe6be2
"148 lot ,,2024 mdl ,,full loaded,,showrum conditio","रू. 4,89,000",Manual,Sport,Petrol,2024,,https://hamrobazaar.com/product/148-lot-2024-mdl-full-loadedshowrum-conditio-in-kathmandu/4c00bfc4818954a303d493c19dc091e9
Pulsar 150 65 Lot Super Fresh Condition Onsell,"रू. 89,000",Manual,Sport,Petrol,2014,,https://hamrobazaar.com/product/pulsar-150-65-lot-super-fresh-condition-onsell-in-bhaktapur/b2a96cd449b00ae00e7786ae1e5aab91
Fzs V2 2016 model,"रू. 1,43,000",Automatic,Scooty,Petrol,2016,,https://hamrobazaar.com/product/fzs-v2-2016-model-in-bhaktapur/0f3c1149f1d49853e7c37b8e541f84b7
"Dominar 400 On Sale 
Cn 9808069712","रू. 2,15,000",Manual,Cruiser,Petrol,2017,30,https://hamrobazaar.com/product/dominar-400-on-sale-cn-9808069712-in-lalitpur/22a83833d6ad66e510a7ca6ff235095c
Scooter Sell,"रू. 1,30,000",,,,,,https://hamrobazaar.com/product/scooter-sell-in-kathmandu/5d9efe94548676c73cf510ae736ae062
X-pulse-200,"रू. 1,95,000",Manual,Dirt,Petrol,2021,30,https://hamrobazaar.com/product/xpulse200-in-kathmandu/a2e6e5f7a7188064f2be3289c8e87a81
Suzuki GN 125,"रू. 1,60,000",Manual,Cruiser,Petrol,2010,45,https://hamrobazaar.com/product/suzuki-gn-125-in-kathmandu/f1a954683a751544cca5429a1e9a37ad
Bike on Sale(Hero),"रू. 1,65,000",Manual,Standard,Petrol,2019,40,https://hamrobazaar.com/product/bike-on-sale-in-kathmandu/6fafd57b35141416d1359b453bc27e09
Yamaha FZ250(Yamaha),"रू. 1,55,000",Manual,Sport,Petrol,2019,35,https://hamrobazaar.com/product/yamaha-fz250-in-kathmandu/205015cb881fc18669ed60fa65bd2949
Scooter,"रू. 2,00,000",Manual,Scooty,Petrol,2021,,https://hamrobazaar.com/product/scooter-in-kaski/5ebbcc00e21532fd3e2d5e5ee6bd75b3
TVs Apache 200cc 129 Lot 2021 Model 9823657076,"रू. 1,88,000",Manual,Standard,Petrol,2021,,https://hamrobazaar.com/product/tvs-apache-200cc-129-lot-2021-model-9823657076-in-bhaktapur/02632cdff990cf19eb1d297f652ab4f2
Honda nx 200 153 lot sale,"रू. 3,98,000",Automatic,Standard,Petrol,2024,45,https://hamrobazaar.com/product/honda-nx-200-153-lot-sale-in-kathmandu/ed3af471fd0f8435cef2ec34fab2b650
Aprilla Sr 125cc 96 Lot 9823657076,"रू. 1,19,000",Manual,Standard,Petrol,2018,,https://hamrobazaar.com/product/aprilla-sr-125cc-96-lot-9823657076-in-bhaktapur/f897846bfe0c3891d2787940ce71812b
CROSS X SE 250,"रू. 3,90,000",Manual,Dirt,Petrol,2017,30,https://hamrobazaar.com/product/cross-x-se-250-in-kathmandu/b50bbb6ea19326bf74a197c59f412fc9
Tvs Ronin 225cc 147 Lot Sale Or Ex,"रू. 3,69,000",Manual,Cruiser,Petrol,2023,35,https://hamrobazaar.com/product/tvs-ronin-225cc-147-lot-sale-or-ex-in-kathmandu/0c321f5f4332096bcda9cc23b90e57ec
Bike Sell(Royal Enfield),"रू. 5,25,000",Manual,Others,Petrol,2021,35,https://hamrobazaar.com/product/bike-sell-in-kathmandu/fb5a3c3db6bb4888a199f9ede34d95dc
151  Lot TVS Ridesr Bike Sell Ma Xa,"रू. 1,95,000",Automatic,Standard,Petrol,2024,45,https://hamrobazaar.com/product/151-lot-tvs-ridesr-bike-sell-ma-xa-in-bhaktapur/3eb46ba6beba66f791c39eaf32fd515d
honda dio 104lot (20km run)deluxe(Honda),"रू. 1,25,000",Automatic,Standard,Petrol,2018,35,https://hamrobazaar.com/product/honda-dio-104lot-20km-rundeluxe-in-kathmandu/62e031ead28f4a6a137400b7f08d03a9
Ntorq 125cc 156 Lot Singal Hand Onsell,"रू. 1,67,000",Manual,Scooty,Petrol,2022,,https://hamrobazaar.com/product/ntorq-125cc-156-lot-singal-hand-onsell-in-bhaktapur/47fae4b980f28a9992cc4c52e2d4b171
